Sampling site	Sampling site name	2,4,5-T	Triclopyr	Trifloxysulfuron	Trinexapac (acid)	2,4-D	2,4-DB	2,4-DP (Dichlorprop)	3,4-Dichloroaniline	Acetamiprid	Acifluorfen	Ametryn	Amicarbazone	Asulam	Atrazine	Atrazine2-hydroxy	Bromacil	Bromoxynil	Chlorpyrifos	Chlorpyrifos oxon	Clomazone	Clothianidin	Cyanazine	Dalapon (2,2-DPA)	DCPMU	DCPU	Desethyl Atrazine 	Desisopropyl Atrazine	Diazinon	Dicamba	Dinotefuran	Diuron	Ethametsulfuron methyl	Ethoxysulfuron	Fipronil	Fipronil Desulfinyl	Fipronil sulfide	Fipronil sulfone	Flamprop-methyl	Fluazifop (acid)	Fluometuron	Fluroxypyr	Flusilazole 	Flutriafol	Halosulfuron methyl	Haloxyfop (acid)	Hexazinone	Imazapic	Imazapyr	Imazethapyr	Imidacloprid	Imidacloprid metabolites	Ioxynil	Isoxaflutole metabolite (DKN)	MCPA	MCPB	Mecoprop	Mesosulfuron methyl	Methoxyfenozide	Metolachlor	Metolachlor-OXA	Metribuzin	Metsulfuron methyl	Molinate	N-Desmethyl Acetamiprid	Napropamide	Pendimethalin	Picloram 	Prometryn	Propachlor	Propazin-2-hydroxy	Propoxur	Sethoxydim	Simazine	Sulfosulfuron	Tebuthiuron	Terbuthylazine	Terbuthylazine desethyl	Terbutryn	Thiacloprid	Thiamethoxam
MA_S12	HA-L04	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.16	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.02	0.02	0.01	0.2	0.05	0.1	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.04	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
MA_S13	HA-L03	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.15	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.01	0.02	0.01	0.2	0.05	0.1	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.04	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
MA_S14	HA-L01	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.17	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.02	0.02	0.01	0.2	0.05	0.14	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.04	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S01	SHM-M-L01	0.01	0.1	0.05	0.05	0.08	0.1	0.05	0.02	0.01	0.1	0.02	0.05	0.02	0.82	0.14	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.16	0.02	0.11	0.04	0.01	0.2	0.05	0.51	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.37	0.19	0.02	0.02	0.23	0.02	0.01	0.04	0.07	0.05	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S02	SHM-M-L02	0.01	0.1	0.05	0.05	0.07	0.1	0.05	0.02	0.01	0.1	0.02	0.05	0.02	0.74	0.12	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.16	0.02	0.09	0.04	0.01	0.2	0.05	0.53	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.39	0.16	0.02	0.02	0.22	0.02	0.01	0.03	0.06	0.05	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S03	SHM-M-L03	0.01	0.1	0.05	0.05	0.09	0.1	0.05	0.02	0.01	0.1	0.02	0.05	0.02	0.85	0.13	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.18	0.02	0.1	0.05	0.01	0.2	0.05	0.63	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.42	0.18	0.02	0.02	0.26	0.02	0.01	0.04	0.06	0.05	0.02	0.02	0.01	0.04	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S04	SHM-M-L05	0.01	0.1	0.05	0.05	0.09	0.1	0.05	0.02	0.01	0.1	0.02	0.05	0.02	0.94	0.14	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.2	0.02	0.11	0.05	0.01	0.2	0.05	0.68	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.45	0.2	0.02	0.02	0.27	0.02	0.01	0.03	0.06	0.05	0.02	0.02	0.01	0.05	0.06	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S05	SHM-S-L07	0.01	0.1	0.05	0.05	0.08	0.1	0.05	0.02	0.01	0.1	0.02	0.05	0.02	0.81	0.12	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.17	0.03	0.09	0.05	0.01	0.2	0.05	0.64	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.43	0.15	0.02	0.02	0.23	0.02	0.01	0.04	0.06	0.05	0.02	0.02	0.01	0.04	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S06	SHM-SM-L10	0.01	0.1	0.05	0.05	0.07	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.55	0.05	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.09	0.02	0.06	0.04	0.01	0.2	0.05	0.36	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.26	0.12	0.02	0.02	0.09	0.02	0.01	0.02	0.04	0.05	0.02	0.02	0.01	0.02	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S07	SHM-M-L04	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.1	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.02	0.02	0.01	0.2	0.05	0.09	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.06	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S08	SHM-S-L06	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.11	0.03	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.03	0.02	0.02	0.02	0.01	0.2	0.05	0.1	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.07	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S09	SHM-S-L08	0.01	0.1	0.05	0.05	0.06	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.53	0.08	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.11	0.02	0.07	0.03	0.01	0.2	0.05	0.42	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.3	0.11	0.02	0.02	0.12	0.02	0.01	0.02	0.04	0.05	0.02	0.02	0.01	0.02	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
SH_S10	SHM-S-L09	0.01	0.1	0.05	0.05	0.07	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.74	0.1	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.15	0.02	0.08	0.04	0.01	0.2	0.05	0.55	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.37	0.14	0.02	0.02	0.17	0.02	0.01	0.03	0.05	0.05	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
Field_Control_1	NA	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.01	0.02	0.01	0.2	0.05	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
Field_Control_2	NA	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.01	0.02	0.01	0.2	0.05	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
Field_Control_3	NA	0.01	0.1	0.05	0.05	0.02	0.1	0.05	0.02	0.01	0.1	0.01	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.01	0.02	0.01	0.2	0.05	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.05	0.01	0.05	0.05	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.1	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05
Reporting limit	NA	0.01	0.05	0.05	0.05	0.02	0.05	0.05	0.02	0.01	0.02	0.01	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.05	0.01	0.2	0.02	0.02	0.01	0.02	0.01	0.05	0.05	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.05	0.05	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.05	0.02	0.02	0.01	0.01	0.05	0.02	0.02	0.02	0.01	0.01	0.02	0.2	0.02	0.02	0.02	0.05	0.02	0.01	0.05	0.01	0.01	0.02	0.02	0.02	0.05

